Expense Category,Budgeted Amount,Actual Amount,Variance,Variance %,Comments
Miscellaneous Expenses,23297.29,29424.453239307077,6127.163239307076,26.3,Unexpected miscellaneous costs
Travel Expenses,30177.78,36617.84956064202,6440.0695606420195,21.34,Under budget due to reduced travel
Salaries and Wages,37747.14,35061.75555048779,-2685.3844495122103,-7.11,Overdue to overtime and staffing needs
Consulting Fees,51304.79,41889.12907905312,-9415.66092094688,-18.35,Savings from in-house expertise
Travel Expenses,90821.36,80167.38187531101,-10653.97812468899,-11.73,Under budget due to reduced travel
Technology Equipment,62766.9,73460.50685292766,10693.60685292766,17.04,High due to unexpected upgrades
Miscellaneous Expenses,32978.17,36569.563835668,3591.393835668001,10.89,Unexpected miscellaneous costs
Employee Benefits,24037.66,22628.26349386759,-1409.3965061324088,-5.86,Lower due to reduced benefits claims
Employee Benefits,64813.48,73305.12632381944,8491.646323819434,13.1,Lower due to reduced benefits claims
Utilities,65873.71,57568.67544178125,-8305.034558218758,-12.61,"Efficient usage, possibly due to energy-saving initiatives"
Marketing Expenses,78809.35,100253.32198823811,21443.971988238103,27.21,Increased campaign costs
Miscellaneous Expenses,96732.98,98907.87569929352,2174.8956992935273,2.25,Unexpected miscellaneous costs
Marketing Expenses,82744.24,73748.49493259526,-8995.745067404743,-10.87,Increased campaign costs
Consulting Fees,18364.05,23054.036721751407,4689.9867217514075,25.54,Savings from in-house expertise
Salaries and Wages,18322.2,19782.82935205543,1460.6293520554282,7.97,Overdue to overtime and staffing needs
Training and Development,30140.53,25540.505703774816,-4600.024296225183,-15.26,Underutilized training budget
Office Supplies,31358.51,25195.07308502465,-6163.4369149753475,-19.65,Overdue to remote work increase
Technology Equipment,65807.19,54151.094407630015,-11656.095592369988,-17.71,High due to unexpected upgrades
Training and Development,31353.97,28185.04121710291,-3168.928782897092,-10.11,Underutilized training budget
Technology Equipment,80880.94,90496.40534704798,9615.465347047983,11.89,High due to unexpected upgrades
Technology Equipment,24634.01,23395.05817180137,-1238.9518281986275,-5.03,High due to unexpected upgrades
Technology Equipment,24823.15,31676.26039247431,6853.110392474307,27.61,High due to unexpected upgrades
Travel Expenses,60733.16,67535.67891816681,6802.51891816681,11.2,Under budget due to reduced travel
Office Supplies,28387.95,26928.178078689714,-1459.7719213102864,-5.14,Overdue to remote work increase
Salaries and Wages,45593.9,48708.09871520626,3114.1987152062575,6.83,Overdue to overtime and staffing needs
Utilities,77094.08,91887.57897157715,14793.498971577152,19.19,"Efficient usage, possibly due to energy-saving initiatives"
Salaries and Wages,47924.1,44532.65477267371,-3391.445227326287,-7.08,Overdue to overtime and staffing needs
Technology Equipment,63247.98,80302.62460800985,17054.644608009847,26.96,High due to unexpected upgrades
Consulting Fees,43282.31,38697.02335296616,-4585.286647033841,-10.59,Savings from in-house expertise
Miscellaneous Expenses,69023.2,70838.96539209165,1815.7653920916491,2.63,Unexpected miscellaneous costs
Travel Expenses,72391.43,64634.16388496312,-7757.266115036873,-10.72,Under budget due to reduced travel
Travel Expenses,67457.78,55684.71318853119,-11773.066811468809,-17.45,Under budget due to reduced travel
Employee Benefits,60518.96,57943.10357954343,-2575.85642045657,-4.26,Lower due to reduced benefits claims
Office Supplies,28380.05,26949.119272843363,-1430.9307271566358,-5.04,Overdue to remote work increase
Training and Development,99485.79,80014.89118362297,-19470.898816377026,-19.57,Underutilized training budget
Marketing Expenses,92052.55,89204.83768059043,-2847.7123194095766,-3.09,Increased campaign costs
Salaries and Wages,26420.38,23867.463130273867,-2552.916869726134,-9.66,Overdue to overtime and staffing needs
Salaries and Wages,64231.87,66902.7139902203,2670.8439902203027,4.16,Overdue to overtime and staffing needs
Office Supplies,96076.74,84708.63785470546,-11368.102145294542,-11.83,Overdue to remote work increase
Miscellaneous Expenses,77786.03,65614.94985884115,-12171.080141158847,-15.65,Unexpected miscellaneous costs
Training and Development,31456.47,36748.3503279988,5291.880327998799,16.82,Underutilized training budget
Travel Expenses,82379.83,83752.72204434488,1372.8920443448733,1.67,Under budget due to reduced travel
Salaries and Wages,72977.05,76706.58878742355,3729.5387874235457,5.11,Overdue to overtime and staffing needs
Utilities,35811.99,34718.549533738245,-1093.4404662617526,-3.05,"Efficient usage, possibly due to energy-saving initiatives"
Technology Equipment,35606.56,32993.822583690904,-2612.7374163090935,-7.34,High due to unexpected upgrades
Travel Expenses,97595.26,123795.87426919707,26200.614269197074,26.85,Under budget due to reduced travel
Travel Expenses,74324.72,62120.898640536216,-12203.821359463785,-16.42,Under budget due to reduced travel
Marketing Expenses,81013.96,72986.45139179996,-8027.508608200049,-9.91,Increased campaign costs
Marketing Expenses,99623.33,104381.78012490332,4758.45012490332,4.78,Increased campaign costs
Employee Benefits,14232.27,12237.64957961504,-1994.620420384961,-14.01,Lower due to reduced benefits claims
Employee Benefits,37499.08,47794.675800271856,10295.595800271854,27.46,Lower due to reduced benefits claims
Office Supplies,41648.01,39442.79588760139,-2205.214112398615,-5.29,Overdue to remote work increase
Training and Development,69791.95,90699.61403539665,20907.66403539665,29.96,Underutilized training budget
Utilities,91553.98,82018.23490663807,-9535.745093361926,-10.42,"Efficient usage, possibly due to energy-saving initiatives"
Miscellaneous Expenses,44372.56,43258.89054928802,-1113.6694507119755,-2.51,Unexpected miscellaneous costs
Training and Development,65225.35,74740.9370666659,9515.587066665896,14.59,Underutilized training budget
Training and Development,32910.96,40227.31884522353,7316.358845223534,22.23,Underutilized training budget
Utilities,69360.46,76205.03346539065,6844.57346539064,9.87,"Efficient usage, possibly due to energy-saving initiatives"
Technology Equipment,47804.26,56849.74554945256,9045.485549452555,18.92,High due to unexpected upgrades
Office Supplies,19094.62,18516.341320683096,-578.2786793169034,-3.03,Overdue to remote work increase
Marketing Expenses,61315.36,68575.41059754514,7260.050597545138,11.84,Increased campaign costs
Technology Equipment,62526.22,58019.95416167038,-4506.265838329622,-7.21,High due to unexpected upgrades
Travel Expenses,10637.53,12951.442358087816,2313.912358087815,21.75,Under budget due to reduced travel
Salaries and Wages,70507.81,72290.39187448975,1782.5818744897551,2.53,Overdue to overtime and staffing needs
Training and Development,91705.84,97525.38890326765,5819.548903267656,6.35,Underutilized training budget
Training and Development,74899.17,68435.08656873513,-6464.083431264866,-8.63,Underutilized training budget
Travel Expenses,48641.17,55436.11459764081,6794.94459764081,13.97,Under budget due to reduced travel
Marketing Expenses,36534.18,37666.32458793054,1132.1445879305393,3.1,Increased campaign costs
Office Supplies,92351.99,109155.11279624357,16803.122796243566,18.19,Overdue to remote work increase
Office Supplies,21364.4,18835.507095945,-2528.892904055003,-11.84,Overdue to remote work increase
Marketing Expenses,53313.79,60413.702489368065,7099.912489368064,13.32,Increased campaign costs
Office Supplies,19626.15,18329.671766703577,-1296.4782332964242,-6.61,Overdue to remote work increase
Marketing Expenses,19840.0,16529.772775170914,-3310.2272248290865,-16.68,Increased campaign costs
Consulting Fees,33812.01,38365.47020236673,4553.460202366725,13.47,Savings from in-house expertise
Utilities,38025.7,30505.998307029004,-7519.7016929709935,-19.78,"Efficient usage, possibly due to energy-saving initiatives"
Travel Expenses,32047.83,35926.71903700831,3878.88903700831,12.1,Under budget due to reduced travel
Consulting Fees,17262.58,21200.407553626843,3937.827553626841,22.81,Savings from in-house expertise
Technology Equipment,41885.97,37934.014716701575,-3951.9552832984264,-9.44,High due to unexpected upgrades
Office Supplies,22994.54,24016.18782544501,1021.6478254450085,4.44,Overdue to remote work increase
Salaries and Wages,81580.06,92359.22482705986,10779.164827059867,13.21,Overdue to overtime and staffing needs
Training and Development,14226.75,15806.105441758336,1579.3554417583364,11.1,Underutilized training budget
Employee Benefits,59470.19,58253.01712634487,-1217.1728736551304,-2.05,Lower due to reduced benefits claims
Employee Benefits,90320.82,75844.20933326909,-14476.610666730921,-16.03,Lower due to reduced benefits claims
Employee Benefits,16855.05,20375.689744368265,3520.6397443682654,20.89,Lower due to reduced benefits claims
Utilities,78728.77,83400.66363964818,4671.893639648173,5.93,"Efficient usage, possibly due to energy-saving initiatives"
Miscellaneous Expenses,96435.06,92365.00655625048,-4070.0534437495226,-4.22,Unexpected miscellaneous costs
Office Supplies,51943.53,43529.89411718411,-8413.635882815892,-16.2,Overdue to remote work increase
Employee Benefits,39993.61,47454.79978467455,7461.189784674549,18.66,Lower due to reduced benefits claims
Employee Benefits,34466.66,40390.99848257493,5924.338482574924,17.19,Lower due to reduced benefits claims
Travel Expenses,99299.23,93463.04848544611,-5836.181514553886,-5.88,Under budget due to reduced travel
Training and Development,46970.28,48580.89143672346,1610.6114367234622,3.43,Underutilized training budget
Employee Benefits,35887.98,29098.76218686638,-6789.217813133622,-18.92,Lower due to reduced benefits claims
Salaries and Wages,37896.54,30649.289851891255,-7247.250148108746,-19.12,Overdue to overtime and staffing needs
Travel Expenses,50557.41,60956.84765441568,10399.437654415677,20.57,Under budget due to reduced travel
Training and Development,72238.86,79519.90280380743,7281.0428038074315,10.08,Underutilized training budget
Salaries and Wages,93247.9,104803.04613730429,11555.146137304298,12.39,Overdue to overtime and staffing needs
Travel Expenses,68591.35,76714.86372796517,8123.513727965168,11.84,Under budget due to reduced travel
Travel Expenses,95780.9,93830.1419989523,-1950.7580010476959,-2.04,Under budget due to reduced travel
Utilities,64604.12,65066.045349645385,461.9253496453821,0.72,"Efficient usage, possibly due to energy-saving initiatives"
Marketing Expenses,14727.08,16865.371153992284,2138.2911539922843,14.52,Increased campaign costs
Travel Expenses,15329.03,15516.1373819509,187.10738195090016,1.22,Under budget due to reduced travel
Salaries and Wages,28893.37,36159.53446819784,7266.16446819784,25.15,Overdue to overtime and staffing needs
Technology Equipment,94522.74,81007.83202302127,-13514.907976978735,-14.3,High due to unexpected upgrades
Consulting Fees,83754.1,86391.49853856812,2637.3985385681153,3.15,Savings from in-house expertise
Technology Equipment,15893.75,16317.101943375465,423.35194337546454,2.66,High due to unexpected upgrades
Consulting Fees,33192.59,29385.583212409092,-3807.0067875909044,-11.47,Savings from in-house expertise
Office Supplies,12738.53,14815.106696537985,2076.5766965379844,16.3,Overdue to remote work increase
Miscellaneous Expenses,95661.04,97251.2674032639,1590.2274032639107,1.66,Unexpected miscellaneous costs
Employee Benefits,35175.08,35899.86172509295,724.7817250929511,2.06,Lower due to reduced benefits claims
Office Supplies,67699.82,82570.91239142464,14871.092391424638,21.97,Overdue to remote work increase
Marketing Expenses,46290.96,55438.92128283055,9147.961282830554,19.76,Increased campaign costs
Office Supplies,63027.29,81097.17687464564,18069.886874645636,28.67,Overdue to remote work increase
Salaries and Wages,15498.41,15834.501694276238,336.09169427623783,2.17,Overdue to overtime and staffing needs
Miscellaneous Expenses,54507.92,69751.77915941924,15243.85915941924,27.97,Unexpected miscellaneous costs
Utilities,80190.57,71474.37430355442,-8716.19569644559,-10.87,"Efficient usage, possibly due to energy-saving initiatives"
Utilities,94827.49,120690.03386197508,25862.54386197508,27.27,"Efficient usage, possibly due to energy-saving initiatives"
Travel Expenses,31167.96,33481.197581929955,2313.237581929956,7.42,Under budget due to reduced travel
Training and Development,62339.79,50625.39022640552,-11714.39977359448,-18.79,Underutilized training budget
Employee Benefits,31745.33,41142.717574157105,9397.387574157103,29.6,Lower due to reduced benefits claims
Travel Expenses,31312.76,38434.287952485545,7121.527952485547,22.74,Under budget due to reduced travel
Miscellaneous Expenses,71082.78,76087.92390236043,5005.143902360433,7.04,Unexpected miscellaneous costs
Technology Equipment,86005.41,75148.11250692641,-10857.297493073595,-12.62,High due to unexpected upgrades
Employee Benefits,88339.83,73665.48895033449,-14674.341049665512,-16.61,Lower due to reduced benefits claims
Travel Expenses,89215.03,73798.7181184064,-15416.311881593603,-17.28,Under budget due to reduced travel
Utilities,85424.9,80771.013191718,-4653.886808281997,-5.45,"Efficient usage, possibly due to energy-saving initiatives"
Consulting Fees,22703.89,20536.502386072283,-2167.3876139277163,-9.55,Savings from in-house expertise
Travel Expenses,90242.14,100905.18142289906,10663.041422899056,11.82,Under budget due to reduced travel
Consulting Fees,64357.98,75456.421806926,11098.441806925992,17.24,Savings from in-house expertise
Employee Benefits,88713.3,100851.67740641114,12138.377406411135,13.68,Lower due to reduced benefits claims
Marketing Expenses,78133.95,78121.07601465085,-12.873985349142458,-0.02,Increased campaign costs
Miscellaneous Expenses,67714.32,86633.09196782144,18918.771967821434,27.94,Unexpected miscellaneous costs
